state,x,y
Andhra Pradesh,-114, -214
Arunachal Pradesh,279, 141
Assam,238, 84
Chattisgarh,-32, -45
Goa,-211, -204
Gujarat,-286, -31
Haryana,-160, 152
Himachal Pradesh,-149, 233
Jharkhand,43, 8
Karnataka,-182, -219
Kerala,-145, -314
Madhya Pradesh,-167, -22
Maharashtra,-204, -103
Manipur,260, 34
Meghalaya,179, 55
Mizoram,240, -4
Nagaland,276, 71
Odisha,24, -70
Punjab,-186, 196
Rajasthan,-266, 83
Sikkim,139, 119
Tamil Nadu,-114, -306
Telangana,-98, -141
Tripura,215, 9
Uttarakhand,-91, 185
Uttar Pradesh,-87, 178
West Bengal,111, -7
Andaman And Nicobar Islands,248, -281
Jammu And Kashmir,-199, 281
Lakshadweep,-272, -314
Chandigarh,-192, 184
Ladak,-122, 312
Puducherry,-58, -285
Daman And Du,-217, -68